"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2001"	"2001"	"Tennessee"	"47"	710	5750789	12.3
	"2001"	"2001"	"Texas"	"48"	2221	21319622	10.4
	"2001"	"2001"	"Utah"	"49"	319	2283715	14.0
	"2001"	"2001"	"Vermont"	"50"	72	612223	11.8
	"2001"	"2001"	"Virginia"	"51"	796	7198362	11.1
	"2001"	"2001"	"Washington"	"53"	711	5985722	11.9
	"2001"	"2001"	"West Virginia"	"54"	282	1801481	15.7
	"2001"	"2001"	"Wisconsin"	"55"	638	5406835	11.8
	"2001"	"2001"	"Wyoming"	"56"	83	494657	16.8
	"2002"	"2002"	"Alabama"	"01"	513	4480089	11.5
	"2002"	"2002"	"Alaska"	"02"	132	642337	20.5
	"2002"	"2002"	"Arizona"	"04"	884	5396255	16.4
	"2002"	"2002"	"Arkansas"	"05"	376	2705927	13.9
	"2002"	"2002"	"California"	"06"	3218	34871843	9.2
	"2002"	"2002"	"Colorado"	"08"	726	4490406	16.2
	"2002"	"2002"	"Connecticut"	"09"	260	3458749	7.5
	"2002"	"2002"	"Delaware"	"10"	74	806169	9.2
	"2002"	"2002"	"District of Columbia"	"11"	31	573158	5.4
	"2002"	"2002"	"Florida"	"12"	2334	16689370	14.0
	"2002"	"2002"	"Georgia"	"13"	903	8508256	10.6
	"2002"	"2002"	"Hawaii"	"15"	120	1239613	9.7
	"2002"	"2002"	"Idaho"	"16"	202	1340372	15.1
	"2002"	"2002"	"Illinois"	"17"	1140	12525556	9.1
	"2002"	"2002"	"Indiana"	"18"	743	6155967	12.1
	"2002"	"2002"	"Iowa"	"19"	314	2934234	10.7
	"2002"	"2002"	"Kansas"	"20"	344	2713535	12.7
	"2002"	"2002"	"Kentucky"	"21"	539	4089875	13.2
	"2002"	"2002"	"Louisiana"	"22"	497	4497267	11.1
	"2002"	"2002"	"Maine"	"23"	166	1295960	12.8
	"2002"	"2002"	"Maryland"	"24"	477	5440389	8.8
	"2002"	"2002"	"Massachusetts"	"25"	436	6417206	6.8
	"2002"	"2002"	"Michigan"	"26"	1106	10015710	11.0
	"2002"	"2002"	"Minnesota"	"27"	494	5018935	9.8
	"2002"	"2002"	"Mississippi"	"28"	343	2858681	12.0
	"2002"	"2002"	"Missouri"	"29"	691	5674825	12.2
	"2002"	"2002"	"Montana"	"30"	184	911667	20.2
	"2002"	"2002"	"Nebraska"	"31"	201	1728292	11.6
	"2002"	"2002"	"Nevada"	"32"	423	2173791	19.5
	"2002"	"2002"	"New Hampshire"	"33"	132	1269089	10.4
